exclude_reason,sbj
similarity,SS1630953622597
similarity,SS1630954081519
similarity,SS1630955291687
complexity,SS1630950241764
complexity,SS1630952684620
complexity,SS1630953588592
complexity,SS1630955291687
prolific,SS1630945999159
prolific,SS1630946041402
prolific,SS1630952697460
prolific,SS1630953373394
prolific,SS1630953838867
prolific,SS1630953939851
prolific,SS1630954001612
prolific,SS1630954025183
prolific,SS1630954328624
prolific,SS1630954332163
prolific,SS1630954582007
prolific,SS1630954589036
prolific,SS1630954596161
prolific,SS1630954602106
prolific,SS1630954610906
prolific,SS1630954618032
prolific,SS1630954624123
prolific,SS1630954805986
prolific,SS1630955262484
prolific,SS1630955262784
prolific,SS1630955403427
prolific,SS1630955405368
prolific,SS1630955407184
prolific,SS1630955448973
prolific,SS1630955739618
prolific,SS1630955853101
prolific,SS1630955867581
prolific,SS1630956966443
prolific,SS1630957688626
